026-02-09 17:15:42,540][INFO]: === Game Progress Tracker v1.0.43 starting ===
[2026-02-09 17:16:29,483][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:29,485][INFO]: [27/74] Completed: Creaks
[2026-02-09 17:16:30,487][INFO]: [28/74] Syncing: Trackmania (2225070)
[2026-02-09 17:16:31,326][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:31,328][INFO]: [28/74] Completed: Trackmania
[2026-02-09 17:16:32,329][INFO]: [29/74] Syncing: Realm of the Mad God Exalt (200210)
[2026-02-09 17:16:33,476][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:33,478][INFO]: [29/74] Completed: Realm of the Mad God Exalt
[2026-02-09 17:16:34,479][INFO]: [30/74] Syncing: GRID 2 (44350)
[2026-02-09 17:16:35,320][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:35,322][INFO]: [30/74] Completed: GRID 2
[2026-02-09 17:16:36,323][INFO]: [31/74] Syncing: Age of Empires II (2013) (221380)
[2026-02-09 17:16:36,959][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:36,961][INFO]: [31/74] Completed: Age of Empires II (2013)
[2026-02-09 17:16:37,962][INFO]: [32/74] Syncing: Spirit of the North (1213700)
[2026-02-09 17:16:38,698][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:38,700][INFO]: [32/74] Completed: Spirit of the North
[2026-02-09 17:16:39,701][INFO]: [33/74] Syncing: Path of Exile (238960)
[2026-02-09 17:16:40,542][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:40,544][INFO]: [33/74] Completed: Path of Exile
[2026-02-09 17:16:41,545][INFO]: [34/74] Syncing: Terraria (105600)
[2026-02-09 17:16:42,386][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:42,387][INFO]: [34/74] Completed: Terraria
[2026-02-09 17:16:43,388][INFO]: [35/74] Syncing: Kingdom Rush Frontiers (458710)
[2026-02-09 17:16:44,228][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:44,230][INFO]: [35/74] Completed: Kingdom Rush Frontiers
[2026-02-09 17:16:45,230][INFO]: [36/74] Syncing: Botanicula (207690)
[2026-02-09 17:16:45,787][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:45,789][INFO]: [36/74] Completed: Botanicula
[2026-02-09 17:16:46,790][INFO]: [37/74] Syncing: Split Fiction (2001120)
[2026-02-09 17:16:47,299][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:47,301][INFO]: [37/74] Completed: Split Fiction
[2026-02-09 17:16:48,302][INFO]: [38/74] Syncing: Vampire Survivors (1794680)
[2026-02-09 17:16:49,144][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:49,146][INFO]: [38/74] Completed: Vampire Survivors
[2026-02-09 17:16:50,146][INFO]: [39/74] Syncing: Castle Crashers (204360)
[2026-02-09 17:16:50,986][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:50,987][INFO]: [39/74] Completed: Castle Crashers
[2026-02-09 17:16:51,988][INFO]: [40/74] Syncing: No Man's Sky (275850)
